x,y,category,noise
657.0748069556879,456.276988920757,1,0
704.8170994782936,981.6243290688553,1,0
425.9542014059359,425.9593931619801,1,0
999.3909407130633,742.6841699637614,1,0
351.53916373366326,671.5725505131878,1,0
353.45445826923776,352.7233204609052,1,0
576.5151885976865,-105.0323375322846,1,0
-45.46691273820261,322.1890707689997,1,0
179.71467746431398,599.3737319633537,1,0
212.8575751084229,53.39035558942925,1,0
963.4788359613917,428.60326487759653,1,0
521.3542933115899,49.4550639371767,1,0
327.8510671652418,535.0768027447532,1,0
136.02387231201675,618.8061450384048,1,0
310.061368903696,407.7583371417976,1,0
309.723662217138,1085.7417923289859,1,0
495.73180277369596,165.52243584468124,1,0
760.1115400029078,113.93533991382117,1,0
566.0484680505994,-119.70210540444157,2,1
79.99069290211861,562.2529888342067,1,0
733.5236368700432,554.1914087268497,1,0
463.42880201668225,404.7826510043852,1,0
32.45029397933962,272.3652740991821,2,1
354.33323051864454,834.2914000039541,1,0
608.6616440727615,-57.522249728336305,1,0
602.4843496435853,378.22629073127865,1,0
285.93846807559737,693.4290263456178,1,0
826.0306757633213,794.4966316040102,2,1
234.61611742912118,402.21846115981157,1,0
604.7546948758211,808.4944561985158,1,0
348.47180123336295,441.28947656862886,1,0
150.14616270377718,121.72625157242601,1,0
756.9432256467113,928.8807544175638,1,0
477.2284001220501,817.3449664247984,1,0
614.3593523120226,295.9952211878908,1,0
614.2833249782282,986.3698674657414,1,0
488.67081168702816,994.7837678904815,1,0
-328.43614179984854,759.9083928422215,1,0
527.5266999272721,405.445573539565,1,0
529.0173053717922,-128.52447766875173,1,0
430.5336496524422,612.9289107056878,1,0
967.3511321781984,336.1085666822655,1,0
244.33187411818275,341.3304910240488,1,0
789.4755666880094,603.9602289832385,1,0
332.47511423812443,662.3094137426334,1,0
530.6986165607202,806.3124414196168,1,0
277.99131849795543,396.38413137310613,1,0
376.0045146980296,37.19593741993168,1,0
593.641453688418,582.552925528364,1,0
501.61701697066934,425.81703487648326,1,0
52.42047215580328,366.98026929647875,1,0
391.624154057199,246.2976514279582,1,0
448.9969797094221,627.7720998076508,1,0
1096.464353832262,555.2063517479181,1,0
581.4445846950235,476.45813436818725,1,0
-106.76873491142908,491.6155763982455,1,0
519.0464647363759,1278.9455503898187,1,0
439.170121838422,595.3576424144729,1,0
489.02317461161994,130.43155497063327,1,0
861.3923055871601,737.7821031208045,1,0
750.1462654613724,212.4264367265215,1,0
943.6025111284522,56.695770124866954,2,1
685.5805077435934,1192.6828891089044,1,0
186.76491074539416,320.92093406730805,1,0
531.5125285621931,340.7870186549681,1,0
